Id,Area2D,Area3D,Complexity
9198305,2789.79,37813.4,8
9201424,3227.73,43189.1,8
9453141,4021.11,64209.9,10
9225379,2023.99,21800.5,0
9266931,3389.69,53611.6,8
9273917,2457.79,33836.6,8
9245558,4159.51,50899.7,6
9225225,1247.16,14225.9,4
9238884,3076.74,43365.4,8
9201656,-,-,-
9652583,36.7487,404.831,3
9242231,3630.72,47264.9,6
9201129,2947.78,39803.9,8
9204897,3459.45,46995.5,6
9640225,2522.99,33720.1,8
9221508,3385.07,56323.6,10
9200833,2799.7,38712.8,8
9195956,2919.7,39078.5,8
9190654,1715.67,18727.4,2
9198020,2460.6,29903,6
9622562,2742.26,31142.4,4
7374884,4034.28,51923,7
9559867,1103.71,16868,10
9190387,3187.69,60904.8,12
9302275,3502.38,56725,12
9625574,350.382,4162.23,5
9202923,3218.03,46113.1,8
9190754,2724.23,36744.2,8
6972714,2549.84,34898.4,8
9643360,106.441,1428.36,8
9200976,3103.57,41941.7,8
9201460,3175.67,42244.5,7
9249220,1064.12,24603.6,12
9238815,2352.45,32014.3,8
9206499,-,-,-
9216489,1909.41,22711,5
9654932,2879.82,33239.3,4
9199815,2978.5,45018.3,11
9236283,2902.57,37284,6
9277395,2259.15,27197.1,6
7883841,60.6219,783.8,2
9193979,2640.53,35382.5,8
9261134,4103.47,74396.6,12
9213370,3006.52,38274.7,7
9197100,5065.77,69219.7,7
9218032,2830.62,38225.5,8
9243965,388.313,4391.32,4
9236033,3575.84,45283.2,6
289824,282.926,4326.47,11
9615166,3357.59,52553.7,10
9200852,2369.27,31405.2,8
6067894,3791.12,43389.5,4
9202975,3445.3,39030.3,4
9652374,48.1827,534.449,3
9619029,3400.18,41976.1,7
9236102,-,-,-
9248298,3126.19,40632.9,10
9193895,2518.14,29112.9,5
9238711,3150.53,51404.1,10
9201289,3788.44,48858.7,8
9658387,605.015,7425.03,6
9209132,2669.95,32693,6
9254966,3264.12,42528,8
9188422,2157.34,27446.7,7
9212923,2538.44,35194.9,8
9646505,397.786,7301.01,11
9625651,4716.9,63276,8
9615712,3710.69,50767.6,8
7461698,4199.42,51245,6
9249396,2880.23,39199.3,8
7438835,2482.55,30351.6,6
9202743,2797.39,35399.1,7
7081862,3237.55,40984.9,7
9198001,2157.66,27531.4,6
9203650,5429.53,66951.2,6
9201131,2462.99,31651.8,8
7895076,4601.1,56353.1,6
9225291,2881.14,38671.2,8
9270812,3777.39,51289.9,8
7565932,2666.77,32254,6
9270957,3178.13,43319.8,8
7402191,2250.37,29273.1,7
9209342,2861.96,38803.7,8
9224777,3168.63,47695.6,9
9243243,2173.22,26869,6
9239359,1661.85,19591,5
9197985,2961.73,43022.7,8
9274188,3118.07,43147.4,8
7675520,2740.12,34384.9,6
9238615,1534.95,20662.6,8
9200215,-,-,-
9205687,2017.97,23576.8,5
9199694,4580.8,61462.6,8
9208990,129.269,1719.94,5
9249732,3461.46,55594.5,12
9218530,2861.72,38060.6,8
9643585,3143.22,43368.3,8
9225180,-,-,-
9222310,3989.61,52963,7
9196483,3558.33,50670.2,9
6083386,649.845,9169.22,6
9202890,3476.28,42943.9,6
9293314,4729.97,63346.6,8
9618493,3355.27,44324,8
9609787,3682.49,45408,6
